"msoa","Meantempwinter"
"E02000001",5.79564640257094
"E02000002",5.09215386708577
"E02000003",5.18040778901842
"E02000004",5.3056735197703
"E02000005",5.33620421091716
"E02000007",5.35275888442993
"E02000008",5.42399477958679
"E02000009",5.40880648295085
"E02000010",5.43350664774577
"E02000011",5.36216910680135
"E02000012",5.49099111557007
"E02000013",5.47928905487061
"E02000014",5.45772949854533
"E02000015",5.40271727244059
"E02000016",5.59842443466187
"E02000017",5.55109103520711
"E02000018",5.54938165346781
"E02000019",5.5185805161794
"E02000020",5.58355593681335
"E02000021",5.4621770646837
"E02000022",5.59912323951721
"E02000023",5.58545223871867
"E02000024",4.47038825352987
"E02000025",4.80577977498372
"E02000026",4.9116493595971
"E02000027",4.66817959149679
"E02000028",4.80863078435262
"E02000029",4.92391880353292
"E02000030",4.5893872089875
"E02000031",4.82670998573303
"E02000032",5.03460232416789
"E02000033",5.11722262700399
"E02000034",4.93012571334839
"E02000035",4.92014376322428
"E02000036",4.75258270899455
"E02000037",4.60543495814006
"E02000038",5.01238759358724
"E02000039",4.88463004430135
"E02000040",4.75375093354119
"E02000041",4.83763480186462
"E02000042",4.92497730255127
"E02000043",4.93790380160014
"E02000044",4.8368091583252
"E02000045",5.09171851476033
"E02000046",4.93714131249322
"E02000047",4.95701751708984
"E02000048",4.97761527697245
"E02000049",5.00490721066793
"E02000050",4.97345288594564
"E02000051",4.95509084065755
"E02000052",4.92924483617147
"E02000053",5.06898228327433
"E02000054",5.02718681759304
"E02000055",4.98265012105306
"E02000056",4.91152037514581
"E02000057",5.02664391199748
"E02000058",4.95230197906494
"E02000059",5.13715116182963
"E02000060",5.05052828788757
"E02000061",4.93570780754089
"E02000062",5.15841420491536
"E02000063",5.11022075017293
"E02000064",5.04774975776672
"E02000065",5.54304228888618
"E02000066",5.48350842793783
"E02000067",5.33749270439148
"E02000068",5.42574723561605
"E02000069",5.28889465332031
"E02000070",5.28312381108602
"E02000071",5.19149351119995
"E02000072",5.36736526489258
"E02000073",5.22794103622437
"E02000074",5.27490011850993
"E02000075",5.15544319152832
"E02000077",5.24576171239217
"E02000078",5.16363922754924
"E02000079",5.15198397636414
"E02000080",5.23512856165568
"E02000081",5.1565580368042
"E02000082",5.22285938262939
"E02000083",5.2912441889445
"E02000084",5.18484910329183
"E02000085",5.22703822453817
"E02000086",5.25736268361409
"E02000087",5.16641759872437
"E02000088",5.20088879267375
"E02000089",5.27736695607503
"E02000090",5.16180920600891
"E02000091",5.07592948277791
"E02000092",5.07696252399021
"E02000093",5.0308895111084
"E02000094",5.10699510574341
"E02000095",5.10558946927388
"E02000096",5.06249618530273
"E02000097",5.11759654680888
"E02000098",5.12960084279378
"E02000099",5.12360755602519
"E02000100",5.02055676778158
"E02000101",5.23307180404663
"E02000102",5.25564400355021
"E02000103",5.16282916069031
"E02000104",5.22719685236613
"E02000105",5.03693803151449
"E02000106",5.32223876317342
"E02000107",5.27059729894002
"E02000108",5.07882150014242
"E02000109",5.24360529581706
"E02000110",5.31146415074666
"E02000111",5.19226463635763
"E02000112",5.21022272109985
"E02000113",5.3469869295756
"E02000114",5.27795124053955
"E02000115",5.2497239112854
"E02000116",5.34193229675293
"E02000117",5.34297347068787
"E02000118",5.31492614746094
"E02000119",5.35756333669027
"E02000120",5.42618004480998
"E02000121",5.28533188501994
"E02000122",5.33787488937378
"E02000123",5.355664173762
"E02000124",5.39247941970825
"E02000125",5.40966268380483
"E02000126",5.47791322072347
"E02000127",5.34080735842387
"E02000128",5.05137284596761
"E02000130",5.38106648127238
"E02000131",5.17420832316081
"E02000132",5.38416401545207
"E02000133",5.0622111691369
"E02000134",5.25418241818746
"E02000135",5.33996232350667
"E02000136",4.94872983296712
"E02000137",5.2586456934611
"E02000138",5.33525302675035
"E02000139",5.42148526509603
"E02000140",5.08071168263753
"E02000141",5.32390880584717
"E02000142",5.15845449765523
"E02000144",5.24025336901347
"E02000145",4.82662760127675
"E02000146",5.19603943824768
"E02000147",5.19751143455505
"E02000148",5.04447897275289
"E02000149",4.88415129979451
"E02000150",5.2283984820048
"E02000151",4.89810424380832
"E02000152",5.03249078326755
"E02000153",5.12478756904602
"E02000154",4.83305931091309
"E02000155",4.86656840642293
"E02000156",5.00027974446615
"E02000157",4.7858337826199
"E02000158",4.659605662028
"E02000159",4.77594439188639
"E02000160",4.88119361514137
"E02000161",4.68255154291789
"E02000162",4.45820668249419
"E02000163",4.37483653877721
"E02000165",4.23252660433451
"E02000166",5.18692700068156
"E02000167",4.81131768226624
"E02000168",5.52201407750448
"E02000169",5.01077953974406
"E02000170",5.16575161616008
"E02000171",5.12688716252645
"E02000172",5.6662236849467
"E02000173",5.17618338267008
"E02000174",5.65190929836697
"E02000175",5.20231930414836
"E02000176",5.2131650712755
"E02000177",5.50132417678833
"E02000178",5.26099371910095
"E02000179",5.33642466862996
"E02000180",5.70894463857015
"E02000181",5.30266265074412
"E02000182",5.49294980367025
"E02000183",5.64353926976522
"E02000184",5.793594678243
"E02000185",5.3448224067688
"E02000186",5.64323806762695
"E02000187",5.75489393870036
"E02000188",5.68055709203084
"E02000189",5.80066633224487
"E02000190",5.75532547632853
"E02000191",5.71360778808594
"E02000192",5.77771467632718
"E02000193",5.75213384628296
"E02000194",5.09053643544515
"E02000195",5.20898954073588
"E02000196",5.34322826067607
"E02000197",5.37448994318644
"E02000198",5.27381976445516
"E02000199",5.21030767758687
"E02000200",5.17287651697795
"E02000201",5.22495794296265
"E02000202",5.30912272135417
"E02000203",5.26836395263672
"E02000204",5.33849970499675
"E02000206",5.22115739186605
"E02000207",5.18826611836751
"E02000208",5.29882963498433
"E02000209",5.36893974939982
"E02000210",5.20415703455607
"E02000211",5.12330309549967
"E02000212",5.33340851465861
"E02000213",5.24124852816264
"E02000214",5.10294302304586
"E02000215",5.11470890045166
"E02000216",4.97434743245443
"E02000217",5.33618990580241
"E02000218",4.8592255115509
"E02000219",4.76933431625366
"E02000220",5.23346773783366
"E02000221",5.17924992243449
"E02000222",4.93620872497559
"E02000223",4.62469967206319
"E02000224",5.10196352005005
"E02000225",4.5247376759847
"E02000226",4.74581940968831
"E02000227",4.53372931480408
"E02000228",4.69132958518134
"E02000229",4.36954593658447
"E02000230",4.92666297488742
"E02000231",4.88826060295105
"E02000232",4.46394570668538
"E02000233",4.70349023077223
"E02000234",4.76977724499173
"E02000235",4.6302302148607
"E02000236",4.69091282950507
"E02000237",4.54221840699514
"E02000238",5.05453213055929
"E02000239",5.08556991153293
"E02000240",4.95361876487732
"E02000241",5.00430615743001
"E02000242",5.27279154459635
"E02000243",5.17948849995931
"E02000244",5.22177076339722
"E02000245",4.97981190681458
"E02000246",4.95951279004415
"E02000247",5.06547005971273
"E02000248",5.26283439000448
"E02000249",5.1930988629659
"E02000250",5.29469553629557
"E02000251",5.05665063858032
"E02000252",5.40463076697456
"E02000253",5.22796456019084
"E02000254",5.09001477559408
"E02000255",5.23733173476325
"E02000256",5.17694568634033
"E02000257",5.21735784742567
"E02000258",5.33850304285685
"E02000259",5.25115823745728
"E02000260",5.14334751764933
"E02000261",5.47346862157186
"E02000262",5.32576131820679
"E02000263",5.12649313608805
"E02000264",5.2390178044637
"E02000265",5.24526969591777
"E02000266",5.21993335088094
"E02000267",5.2828357219696
"E02000268",5.21325016021729
"E02000269",5.24611059824626
"E02000270",5.33611806233724
"E02000271",5.4692980448405
"E02000272",5.31472619374593
"E02000274",5.19154405593872
"E02000275",5.19451268513997
"E02000276",5.24131691455841
"E02000277",5.24185983339946
"E02000278",5.258885357115
"E02000279",5.17766014734904
"E02000280",4.94586132897271
"E02000281",5.2416451772054
"E02000282",5.34030813641018
"E02000283",5.35714340209961
"E02000284",5.25641409556071
"E02000285",5.23704465230306
"E02000286",5.04934525489807
"E02000287",4.78632891619647
"E02000288",5.40412346522013
"E02000289",5.02535923322042
"E02000290",5.40864067077637
"E02000291",5.36383374532064
"E02000292",5.4066211382548
"E02000293",5.2320249080658
"E02000294",5.48992323875427
"E02000295",5.09809827804565
"E02000296",4.96683208147685
"E02000297",5.40056029955546
"E02000298",5.23169183731079
"E02000299",5.50461530685425
"E02000300",5.48527161280314
"E02000301",5.49726676940918
"E02000302",5.37811430295308
"E02000303",5.48991616566976
"E02000304",5.09868105252584
"E02000305",5.2444239060084
"E02000306",5.51153214772542
"E02000307",5.44546763102214
"E02000308",5.21348698933919
"E02000309",5.51145071453518
"E02000311",5.36418374379476
"E02000312",5.28406016031901
"E02000313",5.60401391983032
"E02000314",5.62216989199321
"E02000315",5.57303889592489
"E02000316",5.68245304955377
"E02000317",5.63779560724894
"E02000318",5.60808134078979
"E02000319",5.46604776382446
"E02000320",5.43228069941203
"E02000321",5.55235187212626
"E02000323",5.48125155766805
"E02000324",5.6143004099528
"E02000326",5.66864077250163
"E02000327",5.45608901977539
"E02000328",5.61394917964935
"E02000329",5.26552486419678
"E02000331",5.45485830307007
"E02000332",5.19321974118551
"E02000333",5.55133644739787
"E02000334",5.46463759740194
"E02000335",5.33120234807332
"E02000337",5.49871142705282
"E02000339",5.30047472318013
"E02000340",5.27740563286675
"E02000341",5.47026491165161
"E02000342",5.27753814061483
"E02000343",5.24551630020142
"E02000344",5.16744581858317
"E02000345",5.54228750864665
"E02000346",5.53417253494263
"E02000347",5.55384103457133
"E02000348",5.5676783323288
"E02000350",5.56216033299764
"E02000351",5.55984290440877
"E02000352",5.57674376169841
"E02000353",5.60287710030874
"E02000354",5.60286271572113
"E02000355",5.6281057993571
"E02000356",5.64113791783651
"E02000357",5.61882170041402
"E02000358",5.63146638870239
"E02000359",5.636048634847
"E02000360",5.65815277894338
"E02000361",5.67482662200928
"E02000362",5.64952770868937
"E02000363",5.6609060605367
"E02000364",5.69821230570475
"E02000365",5.7099723815918
"E02000366",5.6853438615799
"E02000367",5.72155777613322
"E02000368",5.73961385091146
"E02000369",5.76594797770182
"E02000370",5.76043788592021
"E02000371",5.7761336962382
"E02000372",5.57257276111179
"E02000373",5.60596100489299
"E02000374",5.53971481323242
"E02000375",5.6589103937149
"E02000376",5.63960647583008
"E02000377",5.5924719174703
"E02000378",5.67991987864176
"E02000379",5.50335363547007
"E02000380",5.60338139533997
"E02000381",5.67097270488739
"E02000382",5.54005320866903
"E02000383",5.69516595204671
"E02000384",5.60108057657878
"E02000385",5.63207455476125
"E02000386",5.69589380423228
"E02000387",5.66061703364054
"E02000388",5.71549208958944
"E02000389",5.57143465677897
"E02000390",5.61186324225532
"E02000391",5.66971524556478
"E02000392",5.6623406012853
"E02000393",5.60353803634644
"E02000394",5.68114725748698
"E02000395",5.58355612225003
"E02000396",5.64342721303304
"E02000397",5.28223922517565
"E02000398",5.49822534455193
"E02000400",5.15160346031189
"E02000401",5.42111070950826
"E02000402",5.45797046025594
"E02000403",5.33628543217977
"E02000404",5.42222420374552
"E02000405",5.18568023045858
"E02000406",5.43907078107198
"E02000407",5.47951626777649
"E02000408",5.5014476776123
"E02000409",5.46819845835368
"E02000410",5.04497750600179
"E02000411",5.5193559328715
"E02000412",5.40120494365692
"E02000413",4.95249621073405
"E02000414",5.47825797398885
"E02000415",5.45591735839844
"E02000416",5.39039278030396
"E02000417",5.07142428557078
"E02000418",5.22275772094727
"E02000419",5.45082076390584
"E02000420",5.51554811000824
"E02000421",5.55586449305217
"E02000422",5.52662229537964
"E02000423",5.47178081671397
"E02000424",5.3901948928833
"E02000425",5.56139004230499
"E02000426",4.91631942325168
"E02000427",5.45376284917196
"E02000428",5.51058840751648
"E02000429",5.21325620015462
"E02000430",5.42274951934814
"E02000431",4.88342746098836
"E02000432",5.47137596872118
"E02000433",4.41579927338494
"E02000434",4.75288905037774
"E02000435",4.69698858261108
"E02000436",4.70746688048045
"E02000437",4.6898463567098
"E02000438",4.82499233881633
"E02000439",4.91254599889119
"E02000440",4.79357216093275
"E02000441",4.90911388397217
"E02000442",4.89016607072618
"E02000443",4.84554409980774
"E02000444",4.88909848531087
"E02000445",4.90994564692179
"E02000447",4.92409669028388
"E02000448",4.97386370764838
"E02000449",5.01400430997213
"E02000451",4.96285404477801
"E02000452",4.8994410832723
"E02000453",4.9458909034729
"E02000454",5.00961716969808
"E02000455",4.90999891644432
"E02000456",4.98690493901571
"E02000457",4.98856925964355
"E02000459",4.92721025149028
"E02000460",4.99522765477498
"E02000461",4.76970076560974
"E02000462",4.96612167358398
"E02000463",4.97439579168956
"E02000464",4.6155567434099
"E02000465",4.69537083307902
"E02000466",4.6779447555542
"E02000467",4.85141086578369
"E02000468",4.80058881971571
"E02000469",4.84329342842102
"E02000470",4.84191200468275
"E02000471",4.94868961970011
"E02000472",5.05315065383911
"E02000473",4.96392711003621
"E02000474",5.14351113637288
"E02000475",4.98952698707581
"E02000476",5.11860466003418
"E02000477",5.09003297487895
"E02000478",4.96926474571228
"E02000479",5.16205684343974
"E02000480",5.23850123087565
"E02000481",4.85047755096898
"E02000482",4.90647013982137
"E02000483",5.08091884189182
"E02000484",5.19369232654572
"E02000485",5.02619282404582
"E02000486",5.18442138036092
"E02000487",5.02794154485067
"E02000488",5.20098861058553
"E02000489",5.29026647408803
"E02000490",5.28734000523885
"E02000491",5.38466612497966
"E02000492",5.27848324321565
"E02000493",5.30642906824748
"E02000494",4.84208785163032
"E02000495",4.94080169995626
"E02000496",4.77324737646641
"E02000497",4.97595159212748
"E02000498",4.89215318361918
"E02000499",4.95563983917236
"E02000500",4.90235270394219
"E02000501",4.8935710589091
"E02000502",4.86556069056193
"E02000503",4.87561337153117
"E02000504",4.81457577811347
"E02000506",4.82294766108195
"E02000507",4.90982882181803
"E02000508",4.89860248565674
"E02000509",4.92153914769491
"E02000510",4.91157118479411
"E02000511",4.97587815920512
"E02000512",4.905082543691
"E02000513",5.02175656954447
"E02000514",5.06045341491699
"E02000515",5.05179888407389
"E02000516",5.05760860443115
"E02000517",5.0302844842275
"E02000518",5.09345563252767
"E02000519",5.13098605473836
"E02000520",5.15813302993774
"E02000521",5.2397731145223
"E02000522",5.21960194905599
"E02000523",5.23182090123494
"E02000524",5.29497811794281
"E02000525",5.33439540863037
"E02000526",5.41159137090047
"E02000528",5.21393336190118
"E02000529",5.28968755404154
"E02000530",5.27299857139587
"E02000531",5.36449670791626
"E02000532",5.35437059402466
"E02000533",5.26503626505534
"E02000534",5.32483526865641
"E02000535",5.31199836730957
"E02000536",5.35967985788981
"E02000537",5.33378760019938
